,SubjectID,AssignmentID,ClientTimestamp,DateTime,NextDateTime,Diff,DaysDiff,HoursDiff,MinutesDiff,SecondsDiff
41,Student11,Assign6,1634517876718,2021-10-18 00:44:36.718,2021-10-18 01:12:03.459,0 days 00:27:26.741000,0.0,0.46,27.43,1646.0
42,Student11,Assign6,1634519523459,2021-10-18 01:12:03.459,2021-10-18 01:12:37.741,0 days 00:00:34.282000,0.0,0.01,0.57,34.0
43,Student11,Assign6,1634519557741,2021-10-18 01:12:37.741,2021-10-18 01:15:52.120,0 days 00:03:14.379000,0.0,0.05,3.23,194.0
44,Student11,Assign6,1634519752120,2021-10-18 01:15:52.120,2021-10-18 01:20:37.303,0 days 00:04:45.183000,0.0,0.08,4.75,285.0
45,Student11,Assign6,1634520037303,2021-10-18 01:20:37.303,2021-10-18 01:20:57.583,0 days 00:00:20.280000,0.0,0.01,0.33,20.0
46,Student11,Assign6,1634520057583,2021-10-18 01:20:57.583,2021-10-16 18:35:21.840,-2 days +17:14:24.257000,-2.0,17.24,1034.4,62064.0
47,Student11,Assign6,1634409321840,2021-10-16 18:35:21.840,,,,,,
48,Student23,Assign6,1634237832593,2021-10-14 18:57:12.593,2021-10-14 19:13:29.034,0 days 00:16:16.441000,0.0,0.27,16.27,976.0
49,Student23,Assign6,1634238809034,2021-10-14 19:13:29.034,2021-10-14 19:13:50.372,0 days 00:00:21.338000,0.0,0.01,0.35,21.0
50,Student23,Assign6,1634238830372,2021-10-14 19:13:50.372,2021-10-14 19:14:06.639,0 days 00:00:16.267000,0.0,0.0,0.27,16.0
51,Student23,Assign6,1634238846639,2021-10-14 19:14:06.639,2021-10-14 19:14:29.788,0 days 00:00:23.149000,0.0,0.01,0.38,23.0
52,Student23,Assign6,1634238869788,2021-10-14 19:14:29.788,2021-10-14 19:14:42.113,0 days 00:00:12.325000,0.0,0.0,0.2,12.0
53,Student23,Assign6,1634238882113,2021-10-14 19:14:42.113,2021-10-15 17:08:38.616,0 days 21:53:56.503000,0.0,21.9,1313.93,78836.0
54,Student23,Assign6,1634317718616,2021-10-15 17:08:38.616,2021-10-15 17:08:58.925,0 days 00:00:20.309000,0.0,0.01,0.33,20.0
55,Student23,Assign6,1634317738925,2021-10-15 17:08:58.925,2021-10-15 17:10:02.365,0 days 00:01:03.440000,0.0,0.02,1.05,63.0
56,Student23,Assign6,1634317802365,2021-10-15 17:10:02.365,2021-10-15 17:18:17.360,0 days 00:08:14.995000,0.0,0.14,8.23,494.0
57,Student23,Assign6,1634318297360,2021-10-15 17:18:17.360,2021-10-15 17:19:05.743,0 days 00:00:48.383000,0.0,0.01,0.8,48.0
58,Student23,Assign6,1634318345743,2021-10-15 17:19:05.743,2021-10-15 17:19:09.596,0 days 00:00:03.853000,0.0,0.0,0.05,3.0
59,Student23,Assign6,1634318349596,2021-10-15 17:19:09.596,2021-10-15 17:19:10.858,0 days 00:00:01.262000,0.0,0.0,0.02,1.0
60,Student23,Assign6,1634318350858,2021-10-15 17:19:10.858,2021-10-15 17:19:11.757,0 days 00:00:00.899000,0.0,0.0,0.0,0.0
61,Student23,Assign6,1634318351757,2021-10-15 17:19:11.757,2021-10-15 17:19:12.050,0 days 00:00:00.293000,0.0,0.0,0.0,0.0
62,Student23,Assign6,1634318352050,2021-10-15 17:19:12.050,2021-10-15 17:19:48.206,0 days 00:00:36.156000,0.0,0.01,0.6,36.0
63,Student23,Assign6,1634318388206,2021-10-15 17:19:48.206,2021-10-15 17:20:05.335,0 days 00:00:17.129000,0.0,0.0,0.28,17.0
64,Student23,Assign6,1634318405335,2021-10-15 17:20:05.335,2021-10-15 17:20:57.396,0 days 00:00:52.061000,0.0,0.01,0.87,52.0
65,Student23,Assign6,1634318457396,2021-10-15 17:20:57.396,2021-10-15 17:22:50.877,0 days 00:01:53.481000,0.0,0.03,1.88,113.0
66,Student23,Assign6,1634318570877,2021-10-15 17:22:50.877,2021-10-15 17:23:19.006,0 days 00:00:28.129000,0.0,0.01,0.47,28.0
67,Student23,Assign6,1634318599006,2021-10-15 17:23:19.006,2021-10-15 17:23:31.578,0 days 00:00:12.572000,0.0,0.0,0.2,12.0
68,Student23,Assign6,1634318611578,2021-10-15 17:23:31.578,2021-10-15 17:24:23.475,0 days 00:00:51.897000,0.0,0.01,0.85,51.0
69,Student23,Assign6,1634318663475,2021-10-15 17:24:23.475,2021-10-15 17:24:36.820,0 days 00:00:13.345000,0.0,0.0,0.22,13.0
70,Student23,Assign6,1634318676820,2021-10-15 17:24:36.820,2021-10-15 17:25:55.052,0 days 00:01:18.232000,0.0,0.02,1.3,78.0
71,Student23,Assign6,1634318755052,2021-10-15 17:25:55.052,2021-10-15 17:27:52.003,0 days 00:01:56.951000,0.0,0.03,1.93,116.0
72,Student23,Assign6,1634318872003,2021-10-15 17:27:52.003,2021-10-15 17:28:17.279,0 days 00:00:25.276000,0.0,0.01,0.42,25.0
73,Student23,Assign6,1634318897279,2021-10-15 17:28:17.279,2021-10-15 17:28:26.206,0 days 00:00:08.927000,0.0,0.0,0.13,8.0
74,Student23,Assign6,1634318906206,2021-10-15 17:28:26.206,2021-10-15 17:28:37.214,0 days 00:00:11.008000,0.0,0.0,0.18,11.0
75,Student23,Assign6,1634318917214,2021-10-15 17:28:37.214,2021-10-15 17:29:13.602,0 days 00:00:36.388000,0.0,0.01,0.6,36.0
76,Student23,Assign6,1634318953602,2021-10-15 17:29:13.602,2021-10-15 17:29:46.110,0 days 00:00:32.508000,0.0,0.01,0.53,32.0
