,SubjectID,AssignmentID,MID_Score,AssignmentScore,FinalScore,Incremental
95,Student38,Assign11,1.7188577362409139,94.0,91.01,1
96,Student38,Assign13,0.947486033519553,44.0,91.01,1
97,Student16,Assign7,2.2708301158301163,75.0,92.77,1
98,Student16,Assign8,0.5,86.0,92.77,1
99,Student16,Assign9,1.3780272654370491,75.0,92.77,1
100,Student16,Assign10,0.5931721194879089,76.0,92.77,1
101,Student16,Assign11,0.02717391304347826,96.0,92.77,1
102,Student16,Assign13,1.4688967136150235,98.0,92.77,1
103,Student12,Assign9,0.8486050460941291,95.0,95.73,1
104,Student12,Assign10,0.0,90.0,95.73,1
105,Student12,Assign13,1.5415481832543447,77.0,95.73,1
106,Student19,Assign8,1.6230921855921856,92.0,90.89,1
107,Student19,Assign10,0.19884169884169883,80.0,90.89,1
108,Student19,Assign11,0.4503605102606766,79.0,90.89,1
109,Student19,Assign13,1.2647679324894514,45.0,90.89,1
110,Student3,Assign6,2.4845238095238096,48.0,95.22,1
111,Student3,Assign7,1.4060109572048791,99.0,95.22,1
112,Student3,Assign8,0.16600790513833993,100.0,95.22,1
113,Student3,Assign9,8.107132132132133,95.0,95.22,0
114,Student3,Assign10,0.5,87.0,95.22,1
115,Student3,Assign11,3.2022669220945086,88.0,95.22,0
116,Student3,Assign12,0.625338753387534,74.0,95.22,1
117,Student3,Assign13,0.0,38.0,95.22,1
118,Student2,Assign6,0.5,33.0,58.17,1
119,Student2,Assign7,0.18282548476454294,37.0,58.17,1
120,Student2,Assign8,0.22110552763819097,40.0,58.17,1
121,Student2,Assign9,0.16065192083818394,11.0,58.17,1
122,Student2,Assign10,0.0,4.0,58.17,1
123,Student2,Assign11,0.5,21.0,58.17,1
124,Student2,Assign12,0.0,7.0,58.17,1
125,Student37,Assign7,1.737140068326013,100.0,98.45,1
126,Student37,Assign8,0.495119305856833,90.0,98.45,1
127,Student37,Assign9,2.604361853142341,92.0,98.45,0
128,Student37,Assign10,0.18957055214723925,82.0,98.45,1
129,Student37,Assign11,4.8419452887537995,96.0,98.45,0
130,Student37,Assign12,0.0,97.0,98.45,1
131,Student37,Assign13,0.0,95.0,98.45,1
132,Student32,Assign6,1.3523578176209756,63.0,83.34,1
133,Student32,Assign7,0.6518199233716476,88.0,83.34,1
134,Student32,Assign8,0.364105300604767,96.0,83.34,1
135,Student32,Assign9,1.4449019607843137,58.0,83.34,1
136,Student32,Assign10,0.5,41.0,83.34,1
137,Student32,Assign11,1.0517031630170317,56.0,83.34,1
138,Student32,Assign12,0.0,66.0,83.34,1
139,Student34,Assign6,2.852769177846577,90.0,96.76,0
140,Student34,Assign7,0.5959595959595959,100.0,96.76,1
141,Student34,Assign8,0.46336785577291906,100.0,96.76,1
142,Student34,Assign9,1.4496474098182803,97.0,96.76,1
143,Student34,Assign10,0.5,97.0,96.76,1
144,Student34,Assign11,0.47637795275590555,91.0,96.76,1
145,Student34,Assign12,1.3492198581560284,46.0,96.76,1
146,Student9,Assign8,2.6140665514261023,78.0,81.83,0
147,Student9,Assign9,2.2905974559294875,56.0,81.83,1
148,Student9,Assign10,0.5,57.0,81.83,1
149,Student9,Assign11,1.59426652892562,66.0,81.83,1
150,Student9,Assign12,0.9846938775510204,79.0,81.83,1
151,Student9,Assign13,0.24110032362459546,50.0,81.83,1
152,Student18,Assign6,0.974113475177305,0.0,94.19,1
153,Student18,Assign7,1.6018744313011832,89.0,94.19,1
154,Student18,Assign8,0.5288350634371395,95.0,94.19,1
155,Student18,Assign9,1.4522979042997242,96.0,94.19,1
156,Student18,Assign10,0.5,92.0,94.19,1
157,Student18,Assign11,1.7372685185185182,88.0,94.19,1
158,Student18,Assign12,0.37329127234490006,78.0,94.19,1
159,Student18,Assign13,0.7798127798127797,51.0,94.19,1
160,Student31,Assign7,2.738021096336195,35.0,71.35,0
161,Student43,Assign7,1.7018657675016058,100.0,95.1,1
162,Student43,Assign8,2.6826314748912616,100.0,95.1,0
163,Student43,Assign9,1.7413001682287912,100.0,95.1,1
164,Student43,Assign10,0.5,96.0,95.1,1
165,Student43,Assign11,0.6189948263118996,86.0,95.1,1
166,Student43,Assign12,1.69158615136876,32.0,95.1,1
167,Student43,Assign13,1.5242083758937692,40.0,95.1,1
168,Student27,Assign8,2.5231456043956055,94.0,95.68,0
